title,url,date,summary
"« Leurs enfants après eux », « Here » et « Le Seigneur des Anneaux » : nos coups de cœur et griffe ciné du 11 décembre - VSD",https://vsd.fr/73264-leurs-enfants-apres-eux-here-et-le-seigneur-des-anneaux-nos-coups-de-coeur-et-griffe-cine-du-11-decembre/,2024-12-11T16:03:00+00:00,"Une fresque d'amours adolescentes captivante et lumineuse, une pépite d'immersion avec un casting hollywoodien et un mythe sans originalité au programme de notre sélection de la semaine."
Si Extraordinaire Sarah Bernhardt - VSD,https://vsd.fr/73291-si-extraordinaire-sarah-bernhardt/,2024-12-12T11:15:00+00:00,"Qu'il s'agisse de la scène ou du grand écran, Sarah Bernhardt, figure emblématique du théâtre, continue de fasciner."
Elle vit avec le squelette de sa mère dans son lit pendant des mois - VSD,https://vsd.fr/73244-elle-vit-avec-le-squelette-de-sa-mere-dans-son-lit-pendant-des-mois/,2024-12-11T11:48:17+00:00,"Durant ces huit mois, sa fille aurait continué à cohabiter avec le corps sans signaler le décès aux autorités..."
Un touriste tchèque arrêté en Inde à cause d’un GPS de vélo - VSD,https://vsd.fr/73251-un-touriste-tcheque-arrete-en-inde-a-cause-dun-gps-de-velo/,2024-12-11T18:27:00+00:00,Un touriste Tchèque a été interpellé et a passé plusieurs heures en prison à cause d'un GPS de vélo...
"Il y a 20 ans, elle a tué son père. Trump veut qu’elle devienne la prochaine médecin-chef des États-Unis - VSD",https://vsd.fr/73284-il-y-a-20-ans-elle-a-tue-son-pere-trump-veut-quelle-devienne-la-prochaine-medecin-chef-des-etats-unis/,2024-12-12T06:27:00+00:00,"Janette Nesheiwat, médecin américaine nommée par Donald Trump au poste de conseillère principale en matière de santé, a perdu son père dans un terrible accident"
Un couple enterre son enfant de 3 ans dans le jardin pour qu'il « renaisse » - VSD,https://vsd.fr/73313-un-couple-enterre-son-enfant-de-3-ans-dans-le-jardin-pour-quil-renaisse/,2024-12-12T16:03:00+00:00,"Décédé des suites d’une maladie respiratoire, l’autopsie de l’enfant a révélé un état de santé alarmant."
Un homme de 50 ans tente d’arracher les yeux d’un retraité à coups de fourchette - VSD,https://vsd.fr/73318-un-homme-de-50-ans-tente-darracher-les-yeux-dun-retraite-a-coups-de-fourchette/,2024-12-12T18:27:00+00:00,Une violente altercation a éclaté dans un pavillon de l’Essonne. Cette rixe s’est déroulée sur fond d’alcool.
"Multirécidiviste « dangereux », condamné à la prison jusqu'en 2044… Christophe Khider est remis en liberté - VSD",https://vsd.fr/73322-multirecidiviste-dangereux-il-etait-condamne-a-la-prison-jusquen-2044-christophe-khider-est-libre/,2024-12-13T06:27:00+00:00,"Au fil des ans, il est devenu une figure symbolique des évasions spectaculaires en France, son nom est souvent associé à l'ingéniosité et à l'audace dans l'univers carcéral."
Abus sexuels dans l'église : l'omerta autour des actes commis par des prêtres français à l’étranger - VSD,https://vsd.fr/73342-abus-sexuels-dans-leglise-lomerta-autour-des-actes-commis-par-des-pretres-francais-a-letranger/,2024-12-13T10:41:56+00:00,Un rapport des Missions Étrangères de Paris expose l'étendue des violences sexuelles perpétrées par des missionnaires et le silence qui les a entourés jusqu'à une période récente.
Francois Bayrou devient premier ministre un vendredi 13… Bon ou mauvais présage ? - VSD,https://vsd.fr/73411-francois-bayrou-devient-premier-ministre-un-vendredi-13-bon-ou-mauvais-presage/,2024-12-13T17:26:10+00:00,"Le patron du MoDem succéde à Michel Barnier, le plus éphémère premier ministre de la Ve République. Plus d’une semaine après la chute du gouvernement Barnier, renversé par une motion de censure, François Bayrou a été nommé ce vendredi midi à Matignon, a fait savoir l’Élysée dans un communiqué."
Y-a t'il des Françaises parmi les femmes les plus influentes du monde ? - VSD,https://vsd.fr/73436-y-a-til-des-francaises-parmi-les-femmes-les-plus-influentes-du-monde/,2024-12-14T16:00:00+00:00,"Le classement 2023 des 100 femmes les plus puissantes du monde, publié par Forbes, met en lumière… deux Françaises. Christine Lagarde, présidente de la Banque centrale européenne et Dominique Senequier, présidente d’Adrian. Elles incarnent toutes les deux l’excellence française au niveau mondial."
Miss France 2025 : Pourquoi Angélique Angarni-Filopon ne pourra pas se présenter à Miss Monde - VSD,https://vsd.fr/73471-miss-france-2025-pourquoi-angelique-angarni-filopon-ne-pourra-pas-se-presenter-a-miss-monde/,2024-12-15T16:54:56+00:00,"En 2011, Angélique Angarni-Filopon terminait première dauphine du concours de beauté. Cette année, elle est sacrée Miss France, à 34 ans."
"""Gosse de 12 ans"", ""aucune culture"" Quand Thierry Ardisson dézingue Cyril Hanouna - VSD",https://vsd.fr/70546-gosse-de-12-ans-aucune-culture-quand-thierry-ardisson-dezingue-cyril-hanouna/,2024-10-21T08:30:00+00:00,"Invité dans l'émission ""Cmédiatique"", Thierry Ardisson étrille le présentateur de TPMP, Cyril Hanouna. On vous dit tout !"
"""Un squelette"" Adeline Toniutti sans tabou sur son anorexie - VSD",https://vsd.fr/70600-un-squelette-adeline-toniutti-sans-tabou-sur-son-anorexie/,2024-10-22T07:30:00+00:00,"Invitée chez Jordan de Luxe, Adeline Toniutti évoque les causes et les conséquences de son anorexie. On fait le point !"
Instagram,N/A,N/A,N/A
"""Sale"", ""Malaisant"" Cyril Hanouna écœuré, répond aux critiques de Thierry Ardisson - VSD",https://vsd.fr/70602-sale-malaisant-cyril-hanouna-ecoeure-repond-aux-critiques-de-thierry-ardisson/,2024-10-22T09:30:00+00:00,"Quelques heures après les propos chocs de Thierry Ardisson, Cyril Hanouna va riposter en direct sur ""Europe 1""."
N/A,N/A,N/A,N/A
"""Bizarre"", ""pas fan"" Loana brise le silence sur la série ""Culte"" - VSD",https://vsd.fr/70603-bizarre-pas-fan-loana-brise-le-silence-sur-la-serie-culte/,2024-10-22T10:30:00+00:00,"Dans les colonnes de ""Voici"", Loana se confie sur la série événement ""Culte"". Actrice, scénario, elle dissèque tout à la loupe !"
Tout sur l'handicap invisible de Julien Arnaud - VSD,https://vsd.fr/70666-tout-sur-lhandicap-invisible-de-julien-arnaud/,2024-10-23T09:30:00+00:00,"Aujourd'hui, vous allez découvrir une autre facette de l'animateur de ""Telematin"", Julien Arnaud !"
"Jarry ""à coté de la plaque"", il se confie sur son quotidien épique dans un appartement de 9 m2 - VSD",https://vsd.fr/70739-jarry-a-cote-de-la-plaque-il-se-confie-sur-son-quotidien-epique-dans-un-appartement-de-9-m2/,2024-10-24T13:30:00+00:00,"Sur son compte Instagram, Jarry raconte ses premiers pas dans la capitale. On fait le point !"
"""Je ne veux plus…"" Sofia, la professeure de chant de la ""Star Academy"", recadre à son tour les élèves - VSD",https://vsd.fr/70741-je-ne-veux-plus-sofia-la-professeure-de-chant-de-la-star-academy-recadre-a-son-tour-les-eleves/,2024-10-24T14:30:00+00:00,"Deux semaines après la rentrée, Sofia règle ses compte avec la promo 2024 de ""La Star Academy"". On fait le point !"
"""J'ai eu ta vie"" Rocco Siffredi marqué au fer rouge par un coup de fil d'Alain Delon - VSD",https://vsd.fr/70742-jai-eu-ta-vie-rocco-siffredi-marque-au-fer-rouge-par-un-coup-de-fil-dalain-delon/,2024-10-24T15:30:00+00:00,"Ce jeudi 24 octobre, Rocco Siffredi se confie à Jordan de Luxe. Cet appel d'Alain Delon, il ne l'oubliera jamais !"
"Une semaine après la fin de ""Pekin Express"", Stéphane Rotenberg dévoile le parcours de la prochaine saison - VSD",https://vsd.fr/70784-une-semaine-apres-la-fin-de-pekin-express-stephane-rotenberg-devoile-le-parcours-de-la-prochaine-saison/,2024-10-25T08:30:00+00:00,"Sur son compte Instagram, Stéphane Rotenberg brise déjà le silence sur le tournage du prochain volet de ""Pekin Express"". On fait le point !"
"Jennifer Lopez et Janet Jackson ""ont béni"" le fils de Séverine Ferrer : l’animatrice en folie - VSD",https://vsd.fr/70785-jennifer-lopez-et-janet-jackson-ont-beni-le-fils-de-severine-ferrer-lanimatrice-en-folie/,2024-10-25T09:30:00+00:00,"Sur ""Chérie FM"", Sévérine Ferrer dévoile ses meilleurs souvenirs d'animatrice. Cette révélation ne laisse personne indifférent !"
"Maureen de la ""Star Academy"" dévoile les coulisses de son duo en live avec Slimane - VSD",https://vsd.fr/71025-maureen-de-la-star-academy-devoile-les-coulisses-de-son-duo-en-live-avec-slimane/,2024-10-29T08:30:00+00:00,"Ce lundi 28 octobre, les fans de la ""Star Academy"" découvrent les images du duo Slimane et Maureen. On fait le point !"
Benoît Poelvoorde prend la place de Julian Bugier au JT de 13 heures de France 2 - VSD,https://vsd.fr/71112-benoit-poelvoorde-prend-la-place-de-julian-bugier-au-jt-de-13-heures-de-france-2/,2024-10-30T08:30:00+00:00,"Invité au journal de 13 heures, Benoit Poelvoorde va semer la panique. On fait le point !"
"""Un peu précipité"" Pierre Garnier cash sur un potentiel projet avec Héléna - VSD",https://vsd.fr/71193-un-peu-precipite-pierre-garnier-cash-sur-un-potentiel-projet-avec-helenapierre-garnier/,2024-10-31T10:30:00+00:00,"Interrogé par ""Ciné Télé Revue"", Pierre Garnier met cartes sur table. Ce duo avec Helena n'est vraiment pas à l'ordre du jour !"
Pascal Praud en deuil mais déjà de retour : découvrez son émouvant message aux auditeurs - VSD,https://vsd.fr/71184-pascal-praud-en-deuil-mais-deja-de-retour-decouvrez-son-emouvant-message-aux-auditeurs/,2024-10-31T21:30:00+00:00,"Ce jeudi 31 octobre, Pascal Praud s'exprime pour la première fois depuis le décès de son père. On fait le point !"
"« C’est vrai que je ne les fais pas », Antoine de Caunes se confie sans détour sur son rapport à la vieillesse - VSD",https://vsd.fr/73257-cest-vrai-que-je-ne-les-fais-pas-antoine-de-caunes-se-confie-sans-detour-sur-son-rapport-a-la-vieillesse/,2024-12-11T16:23:00+00:00,"Invité dans l’émission « Info médias » sur Franceinfo, ce lundi 9 décembre 2024, Antoine de Caunes s’est exprimé en toute franchise sur son âge et sur le temps qui passe."
"« Le fait qu’on continue d’aduler un psychopathe », Léna Guillou, furieuse après l’annonce de la participation d'Adil Rami à « Danse avec les stars » - VSD",https://vsd.fr/73260-le-fait-quon-continue-daduler-un-psychopathe-lena-guillou-furieuse-apres-lannonce-de-la-participation-dadil-rami-a-danse-avec-les-stars/,2024-12-11T18:32:00+00:00,"Les noms des premiers participants pour la prochaine saison de « Danse avec les stars » commencent à fuiter. Et cela ne fait pas plaisir à tout le monde. À commencer par Léna Guillou, l’ex-compagne d’Adil Rami."
"VSD - Voir, savoir, découvrir",https://vsd.fr/,N/A,N/A
title,url,date,summary
N/A,N/A,N/A,N/A
"VSD - Voir, savoir, découvrir",https://vsd.fr/,N/A,N/A
Instagram,N/A,N/A,N/A
"Jenifer décline l’invitation à chanter pour le Pape, Alizée réagit à son tour - VSD",https://vsd.fr/73253-jenifer-decline-linvitation-a-chanter-pour-le-pape-alizee-reagit-a-son-tour/,2024-12-11T14:12:00+00:00,"Alors qu’un concert se tiendra pour la venue du Saint-Père à Ajaccio, ce dimanche 15 décembre, Jenifer a fait savoir qu’elle ne serait pas présente. Ce qui n’est pas le cas d’Alizée, qui a officialisé sa venue."
"« C’est vrai que je ne les fais pas », Antoine de Caunes se confie sans détour sur son rapport à la vieillesse - VSD",https://vsd.fr/73257-cest-vrai-que-je-ne-les-fais-pas-antoine-de-caunes-se-confie-sans-detour-sur-son-rapport-a-la-vieillesse/,2024-12-11T16:23:00+00:00,"Invité dans l’émission « Info médias » sur Franceinfo, ce lundi 9 décembre 2024, Antoine de Caunes s’est exprimé en toute franchise sur son âge et sur le temps qui passe."
"« Le fait qu’on continue d’aduler un psychopathe », Léna Guillou, furieuse après l’annonce de la participation d'Adil Rami à « Danse avec les stars » - VSD",https://vsd.fr/73260-le-fait-quon-continue-daduler-un-psychopathe-lena-guillou-furieuse-apres-lannonce-de-la-participation-dadil-rami-a-danse-avec-les-stars/,2024-12-11T18:32:00+00:00,"Les noms des premiers participants pour la prochaine saison de « Danse avec les stars » commencent à fuiter. Et cela ne fait pas plaisir à tout le monde. À commencer par Léna Guillou, l’ex-compagne d’Adil Rami."
Cambriolage d’Amaury Leveaux : l’incroyable montant du préjudice - VSD,https://vsd.fr/73295-cambriolage-damaury-leveaux-lincroyable-montant-du-prejudice/,2024-12-12T09:57:03+00:00,"D’après une information révélée par nos confrères d’Europe 1, le domicile parisien d’Amaury Levaux a été cambriolé ce mercredi 11 décembre. Le préjudice s’élève à plusieurs centaines de milliers d’euros."
